,model_receiver,model_sender,match_type,influence,count
86,gemma-3-27b,qwen-2.5-72b,all,0.7967147792711675,2034
87,gemma-3-4b,gemma-3-27b,all,0.6151454460891799,2862
88,llama-3.1-8b,llama-3.3-70b,all,0.5925753086809212,4467
89,llama-3.3-70b,gemma-3-27b,all,0.682821570713038,1795
90,llama-3.3-70b,llama-3.1-8b,all,0.5085434214884635,5255
91,llama-3.3-70b,qwen-2.5-72b,all,0.7472025065945559,1862
92,qwen-2.5-72b,gemma-3-27b,all,0.5593984835501864,1813
93,qwen-2.5-72b,llama-3.3-70b,all,0.4968907670981217,1658
94,qwen-2.5-72b,qwen-2.5-7b,all,0.40301803833189176,2538
95,qwen-2.5-7b,qwen-2.5-72b,all,0.6533336936558871,2594
