model_receiver,model_sender,match_type,total_positive_delta,total_positive_budget,total_negative_delta,total_negative_budget,possible_positive_count,possible_negative_count,count,positive_delta_realisation,negative_delta_realisation
qwen-2.5-72b,llama-3.3-70b,B:B,10.1,30.0,-15.7,30.0,60,60,60,0.33666666666666667,-0.5233333333333333
qwen-2.5-72b,qwen-2.5-7b,0:1,9.9,168.0,0.0,0.0,168,0,168,0.05892857142857143,
qwen-2.5-72b,qwen-2.5-7b,0:B,3.7,75.0,0.0,0.0,75,0,75,0.04933333333333333,
qwen-2.5-72b,qwen-2.5-7b,1:0,579.3,1830.0,0.0,0.0,1830,0,1830,0.3165573770491803,
qwen-2.5-72b,qwen-2.5-7b,1:B,53.4,203.0,0.0,0.0,203,0,203,0.2630541871921182,
qwen-2.5-72b,qwen-2.5-7b,B:0,98.2,192.9,-52.8,179.1,372,372,372,0.5090720580611716,-0.2948073701842546
qwen-2.5-72b,qwen-2.5-7b,B:1,2.8,26.2,-22.8,26.8,53,53,53,0.10687022900763359,-0.8507462686567164
qwen-2.5-72b,qwen-2.5-7b,B:B,5.5,16.0,-8.9,16.0,32,32,32,0.34375,-0.55625
qwen-2.5-7b,qwen-2.5-72b,0:1,468.2,1830.0,0.0,0.0,1830,0,1830,0.2558469945355191,
qwen-2.5-7b,qwen-2.5-72b,0:B,68.0,372.0,0.0,0.0,372,0,372,0.1827956989247312,
qwen-2.5-7b,qwen-2.5-72b,1:0,149.6,168.0,0.0,0.0,168,0,168,0.8904761904761904,
qwen-2.5-7b,qwen-2.5-72b,1:B,42.5,53.0,0.0,0.0,53,0,53,0.8018867924528302,
qwen-2.5-7b,qwen-2.5-72b,B:0,31.1,36.9,-5.0,38.1,75,75,75,0.8428184281842819,-0.13123359580052493
qwen-2.5-7b,qwen-2.5-72b,B:1,30.5,99.1,-51.6,103.9,203,203,203,0.30776992936427855,-0.4966313763233879
qwen-2.5-7b,qwen-2.5-72b,B:B,9.1,16.0,-3.8,16.0,32,32,32,0.56875,-0.2375
