model_receiver,model_sender,match_type,total_positive_delta,total_positive_budget,total_negative_delta,total_negative_budget,possible_positive_count,possible_negative_count,count,positive_delta_realisation,negative_delta_realisation
gemma-3-27b,gemma-3-27b,B:B,1284.5,1334.0,-21.6,1334.0,2668,2668,2668,0.9628935532233883,-0.016191904047976012
gemma-3-4b,gemma-3-4b,B:B,762.8,1209.0,-264.3,1209.0,2418,2418,2418,0.6309346567411083,-0.2186104218362283
llama-3.1-8b,llama-3.1-8b,B:B,2.8,10.0,-2.0999999999999996,10.0,20,20,20,0.27999999999999997,-0.20999999999999996
llama-3.3-70b,llama-3.3-70b,B:B,738.1,1320.0,-365.0,1320.0,2640,2640,2640,0.5591666666666667,-0.2765151515151515
qwen-2.5-72b,qwen-2.5-72b,B:B,865.8,1595.0,-423.4,1595.0,3190,3190,3190,0.54282131661442,-0.26545454545454544
qwen-2.5-7b,qwen-2.5-7b,B:B,804.3,1723.0,-493.7,1723.0,3446,3446,3446,0.4668020893789901,-0.28653511317469527
